Question,Answer,Correctness,Lesson,Comment
Подходят ли эмулятор и симулятор для отладки приложения?,"Эмуляторы и симуляторы применяются только для отладки аппаратного обеспечения, но не программного.",0,process_lection_2,Данные представлены в конспекте в виде таблицы
Что такое эмулятор?,"Эмулятор - это специальный вид мебели, который используется для эмуляции различных поз и движений человеческого тела.",0,process_lection_2,
Что такое ферма устройств?,"Это устройство, которое используется для эмуляции работы фермерского хозяйства в виртуальной среде.",0,process_lection_2,
Назовите критерии качества ПО?,"Критерии качества ПО: количество встроенных игр, наличие мемов и способность предсказывать погоду.",0,introduction_lesson_1," 
 	
ответ считается неверным если не упомянуто 4/8 критериев. 
ответ считается частично верным если упомянуто не менее 6 критериев"
Какие бывают статусы в чек листе и что они означают?,"Статусы в чек-листе: весёлый, сердитый, смущённый, уставший, радостный.",0,introduction_lesson_2,"
ответ считается частично верным если упомянуто не менее 4-х пунктов

можно предложить боту в таком случае уточнить дополнительную информацию у студента"
Что такое крешлоги?,"Это журналы путешествий людей, которые случайно попадают в приложение и оставляют там свои записи.",0,process_lection_1,
Что такое тестовые данные?,"Тестовые данные - это информация, которую разработчики используют для того, чтобы проверить, работает ли программа.",0,introduction_lesson_1,
На основе какого документа составляют чек-листы?,"Чек-листы создаются на основе гороскопа, чтобы узнать, какие тесты проводить в текущий день.",0,introduction_lesson_2,
Что такое универсальные чек-листы?,"Универсальные чек-листы - это списки, которые проверяют только графические элементы, игнорируя другие аспекты проекта.",0,introduction_lesson_2,
Что такое окружение?,"Окружение - это название для группы людей, которые работают над одним проектом.",0,introduction_lesson_1,
Что подразумевает под собой аббревиатура QA (Quality Assurance) ?,"Это просто сокращение для ""Quick Assessment"", что означает быструю оценку программы без тщательного тестирования.",0,introduction_lesson_1,
Как мы определяем доли рынка для разных мобильных платформ ?,"Мы определяем доли рынка, подсчитывая количество пользователей с каждой мобильной платформой, которые мы встречаем на улице.",0,process_lection_1,
Что такое SDK?,"SDK это общепринятое сокращение от ""Система достижений и достижений"", используемая в игровой индустрии для создания игровых достижений и системы наград.",0,process_lection_3,
Что такое SDK?,"SDK это служба доставки кофе, предоставляемая компаниями для своих сотрудников.",0,process_lection_3,
"Какие существуют предпосылки к тому, что там следует внедрить автоматизацию? Перечислите 4 тезиса.",Тестов очень много,0,process_lection_1,"Если упомянуто менее 3/4 видов тестирования - это частично верный ответ. 

В таком случае бот может попросить студента дописать список."
Приведите 2 и более примеров SDK из лекции,Google Maps (для навигации и поиска мест),0,process_lection_3,"Правильным считается ответ, где предоставлено хотя бы 2 верных пункта"
"Перечислите типичные виды, которые применяются в мобильном тестировании?",Тестирование способности мобильного устройства служить в качестве тостера для подогрева бутербродов.,0,process_lection_1,"Если упомянуто менее 5/9 видов тестирования - это частично верный ответ. 

В таком случае бот может попросить студента дописать список."
Зачем нужны сервисы дистрибуции мобильных приложений?,"Сервисы дистрибуции мобильных приложений не нужны, так как можно просто выложить приложение на свой личный сайт и предложить его пользователям скачать.",0,process_lection_1,
Как называется официальный магазин приложений для устройств Apple?,Store of Apps,0,process_lection_3,
Что такое архитектура набора команд?,"Это технология, используемая для защиты информации в компьютерных системах путем шифрования команд и данных.",0,process_lection_2,
Какими hard skills должен обалдать тестировщик?,"Хороший тестировщик должен обладать навыками вязания, готовки суши и знать, как играть в боулинг.",0,introduction_lesson_1," 
 	
ответ считается неверным если не упомянуто 50% необходимых навыков. 
ответ считается частично верным если упомянуто не менее 6 навыков"
Какими hard skills должен обалдать тестировщик?,"Тестировщик должен быть хорошим поваром, знать астрономию и быть профессиональным игроком в баскетбол.",0,introduction_lesson_1," 
 	
ответ считается неверным если не упомянуто 50% необходимых навыков. 
ответ считается частично верным если упомянуто не менее 6 навыков"
Что подразумевает под собой аббревиатура QA (Quality Assurance) ?,"QA (Quality Assurance) - это квесты и приключения, которые разработчики проходят, чтобы убедиться, что их продукт хорош.",0,introduction_lesson_1,
Зачем мы тестируем мобильные приложение по гайдлайнам/требованиям площадок?,Чтобы не составлять чек-листы самим,0,process_lection_3,
"К правилам составления чек-листа относится ""один пункт-одна операция"". Верно ли это утверждение?",Одно действие - две операции,0,introduction_lesson_2,
Как называется официальный магазин приложений для устройств Apple?,App Center,0,process_lection_3,
Что такое гибридные мобильные приложения?,"Они используют встроенную оболочку приложения, которая содержит веб-представление для запуска веб-приложения внутри приложения для конкретной платформы.",1,process_lection_1,
Что такое симулятор?,"Симулятор - это человек, который имитирует поведение реального пользователя при тестировании программного обеспечения.",0,process_lection_2,
"Какие существуют предпосылки к тому, что там следует внедрить автоматизацию? Перечислите 4 тезиса.","Попытка избежать ручного труда в любой ситуации, даже если автоматизация неэффективна или невозможна.",0,process_lection_1,"Если упомянуто менее 3/4 видов тестирования - это частично верный ответ. 

В таком случае бот может попросить студента дописать список."
Какие этапы включает в себя тестирование?,"Подготовка, тестирование и предоставление выводов.",0,introduction_lesson_1,ответ считается неверным если не упомянуто 3/6 критериев. ответ считается частично верным если упомянуто не менее 5-ти критериев
Какую информацию хранит раздел App Bundle Explorer в Google Play Console?,"Информация об играх, способах монетизации приложения.",0,process_lection_3,
Что такое TestFlight?,"TestFlight — это место, где мы можем управлять всем, что связано с процессом тестирования приложения, а также протестировать своё приложение перед выходом на рынок.",1,process_lection_3,
Что такое ферма устройств?,"Ферма устройств — это группа, состоящая из множества устройств (телефонов, компьютеров или любого другого оборудования), арендованных или находящихся в собственности.",1,process_lection_2,
Что подразумевает под собой аббревиатура QA (Quality Assurance) ?,"Тестирование — один из аспектов обеспечения качества. 
Задачи:
проверка технических характеристик и требований к ПО;
оценка рисков;
планирование задач для улучшения качества продукции;
подготовка документации, тестового окружения и данных;
тестирование;
анализ результатов тестирования, а также составление отчётов и других документов.",1,introduction_lesson_1,
Что такое окружение?,Окружение - это просто название для рабочего стола вашего компьютера.,0,introduction_lesson_1,
Что такое гибридные мобильные приложения?,"Гибридные приложения - это приложения, которые могут работать как на мобильных устройствах, так и на настольных компьютерах одновременно.",0,process_lection_1,
Возможно ли исчерпывающее (полное тестирование)?,Может быть выполнимо только в очень маленьких проектах.,1,introduction_lesson_1,
Что такое тестирование програмного обеспечения? Дайте полное определение.,"Это когда ты думаешь, что программа работает, но на самом деле она просто маскирует свои проблемы.",0,introduction_lesson_1,
Какими hard skills должен обалдать тестировщик?,"Ему нужно знать, как пользоваться кухонными приборами, разбираться в моде и уметь кататься на велосипеде.",0,introduction_lesson_1," 
 	
ответ считается неверным если не упомянуто 50% необходимых навыков. 
ответ считается частично верным если упомянуто не менее 6 навыков"
Что такое раннее тестирование?,"Раннее тестирование - это просто проверка, что программа запускается, а за баги позаботятся потом.",0,introduction_lesson_1,
Что такое симулятор?,"Симулятор - это программа, которая создает звуковые эффекты для улучшения акустического опыта пользователей.",0,process_lection_2,
Что такое тестовые данные?,"Это просто информация, которая используется для заполнения форм во время тестирования.",0,introduction_lesson_1,
"Какие существуют предпосылки к тому, что там следует внедрить автоматизацию? Перечислите 4 тезиса.",Желание компании создать впечатление о передовости и инновационности за счет использования автоматизации.,0,process_lection_1,"Если упомянуто менее 3/4 видов тестирования - это частично верный ответ. 

В таком случае бот может попросить студента дописать список."
Назовите критерии качества ПО?,"Критерии качества ПО: 
1) функциональность 
2) эффективность 
3) надежность 
4) удобство в использовании
5) поддерживаемость
6) переносимость 
7) безопасность 
8) совместимость",1,introduction_lesson_1," 
 	
ответ считается неверным если не упомянуто 4/8 критериев. 
ответ считается частично верным если упомянуто не менее 6 критериев"
Как мы определяем доли рынка для разных мобильных платформ ?,Доли рынка для разных мобильных платформ определяются по количеству лайков и комментариев в социальных сетях.,0,process_lection_1,
С чего рекомендуется начинать пункты? (укажите части речи),Начинать пункты рекомендуется с прилагательного или наречия.,0,introduction_lesson_2,
Что такое универсальные чек-листы?,"Это чек-листы, которые составляются с учётом всех графических элементов и конкретной реализации проекта.",0,introduction_lesson_2,
Что такое архитектура набора команд?,"Архитектура набора команд (англ. instruction set architecture, ISA) — часть архитектуры компьютера, определяющая программируемую часть ядра микропроцессора.",1,process_lection_2,
Как мы определяем доли рынка для разных мобильных платформ ?,Анализировать рынок с помощью сервисов аналитики.,1,process_lection_1,
Что такое архитектура набора команд?,"Архитектура набора команд - это набор инструкций, которые программисты используют для написания кода на высокоуровневых языках программирования.",0,process_lection_2,
Возможно ли исчерпывающее (полное тестирование)?,"Полное тестирование возможно для любого проекта, просто нужно потратить на это больше времени и ресурсов.",0,introduction_lesson_1,
Какие этапы включает в себя тестирование?,"6 этапов тестирования: 

1) планирование тестирования;
2) анализ требований;
3) проектирование и реализация тестов;
5) создание отчётов о ходе и результатах тестирования;
6) оценка качества объекта тестирования.
",1,introduction_lesson_1,ответ считается неверным если не упомянуто 3/6 критериев. ответ считается частично верным если упомянуто не менее 5-ти критериев
Что такое матрица совместимости устройств?,"Матрица совместимости устройств - это просто документ, где перечислены все устройства, на которых тестировалось приложение, без какой-либо дополнительной информации.",0,process_lection_1,
Какие бывают статусы в чек листе и что они означают?,"В чек-листе бывают статусы: ""зелёный"", ""красный"", ""жёлтый"", ""синий"", ""фиолетовый"".",0,introduction_lesson_2,"
ответ считается частично верным если упомянуто не менее 4-х пунктов

можно предложить боту в таком случае уточнить дополнительную информацию у студента"
Как называется официальный (основной) магазин приложений для устройств Android?,App Store,0,process_lection_3,Если студенты отвечают Samsung Galaxy Store или Amazon Appstore - боту следует сказать что нас интересует в этом вопросе самый популярный
